_id,id,department,name,street,no,zip,city,lat,lng
390,5440,MBU,Børnehuset Nymarken,Nymarks Allé,1,8320,Mårslet,56.061377,10.1562
391,5442,MKB,Lyseng Svømmebad,Lysengvej,4,8270,Højbjerg,56.112244,10.191191
392,5456,MSB,Mariendals Grønne Værksted,Ørnevænget,37,8330,Beder,56.050407,10.26242
393,5463,MBU,Bodøgården,Bodøvej,96,8200,Århus N,56.180129,10.180856
394,5486,MSB,Socialpsykiatri - Windsor,Skolebakken,17,8000,Århus C,56.158064,10.213024
395,5488,MBU,Safiren,Helenelyst,70,8220,Brabrand,56.1610914,10.0951321
396,5492,MBU,Legepladsen Søndergård,Lystrupvej,262,8520,Lystrup,56.238258,10.228547
397,5494,MBU,Dagtilbud Nørrebro,Østboulevarden,9-11,8000,Århus C,56.1638412,10.2136289
398,5524,MBU,UNO-Fritidscenter,Marienlundvej,11,8240,Risskov,56.179335,10.222813
399,5528,MBU,Den Integrerede Institution Hobitten ,Septembervej ,23,8210,Århus V,56.176622,10.153573
400,6030,MSO,Plejecenter - Ceres Alle,Ceres Alle,13,8000,Århus C,56.154266,10.189673
401,6136,MSB,Alkohol Rådgivningen,Jægergårdsgade,66,8000,Århus C,56.148044,10.2012319
402,6242,MKB,Gellerup Bibliotek,Gudrunsvej,78,8220,Brabrand,56.1554775,10.1343281
403,6245,MTM,Planlægning og Byggeri,Kalkværksvej,10,8000,Århus C,56.1504819,10.2116996
404,6247,MBU,Klubben Holme Søndergård,Nygårdsvej,5,8270,Højbjerg,56.1102,10.173792
405,6262,MBU,Afdeling,Ny Studstrupvej,3D,8541,Skødstrup,56.267636,10.312161
406,6263,MSB,Bofælleskab Skødstrup,Tronkærgårdsvej ,102,8541,Skødstrup,56.2649354,10.2981183
407,6265,MKB,Egå Bibliotek,Egå Havvej,5,8250,Egå,56.211717,10.283211
408,6266,MSO,Hjælpemiddelcentralen,Sintrupvej,15-17,8220,Brabrand,56.16689,10.113454
409,6295,MSO,Vestervang Plejeboliger,Vestervang,42,8000,Århus C,56.16469,10.195165
410,6353,MSO,Sif-gården,Thorsvej,2,8230,Åbyhøj,56.154882,10.165527
411,6356,MBU,Næringen 99,næringen,99,8200,Århus N,56.1954069,10.1973364
412,6361,MBU,Daginstitutionen Vidstkuevej,Vidtskuevej,25,8260,Viby J,56.1279935,10.1771144
413,6363,MBU,Børnehuset Indelukket,Indelukket,5,8520,Lystrup,56.241406,10.246252
414,6366,MKB,Godsbanen - Kulturproduktionscenter,Skovgaardsgade,3-5,8000,Århus C,56.154061,10.194996
415,6367,MSO,Folkestedet,Carl Blochs Gade,28,8000,Århus C,56.1551776,10.1937224
416,6368,MSO,Madsbjerg,Nygårdsvej,2,8270,Højbjerg,56.1098,10.17616
417,6372,MSB,Sumatravej 3,sumatravej,3 ,8000,Århus C,56.141881,10.208443
418,6382,MSO,OK-Fonden Egå,Egå Mosevej,27,8250,Egå,56.2164281,10.2617962
419,6384,MSO,Plejeboliger Hedevej,Hedevej,50,8240,Risskov,56.205031,10.239252
420,6395,MSB,Ryhave Kollegiet MSB,Bispehavevej,1,8210,Århus V,56.167435,10.1597069
421,6400,MSB,Hotspotcentret,Hasle Centervej,215,8210,Århus V,56.16653,10.154639
422,6402,MBU,Legepladsen (underopkoblet fra Klub2teket),Kappelvænget ,52,8210,Århus V,56.180041,10.1626809
423,6405,MBU,Ellekjær Fritidscenter,Rytoften,42,8210,Århus V,56.1672086,10.151385
424,6414,MKB,DOKK1,Hack Kampmanns Plads ,2,8000,Århus C,56.1535428,10.2141811
425,6418,MBU,Vestermarken,Vestermarken,2,8260,Viby J,56.1280088,10.1122444
426,6423,MSB,Autismecenteret,Havkærparken,47,8381,Tilst,56.1860959,10.1168926
427,6425,MSB,Rundbuehallen,Værkmestergade,13A,8000,Århus C,56.149756,10.20811
428,6426,MSB,Vintervej,Vintervej,96,8210,Århus V,56.1765617,10.1497933
429,6434,MSB,Plejeboligerne Engelstoft,Engelstoft,121-127 146-160,8520,Lystrup,56.2354219,10.1949458
430,6438,MSB,Sundhedshuset,Jettesvej,10A,8220,Brabrand,56.1578254,10.1320686
431,6440,MBU,Dagplejehuset,Grønløkke Allé,5,8310,Tranbjerg J,56.092121,10.130455
